================================================================
SUMMARY — async upsert against every published Intel V4 fmspc
TCB_EVALS=19,20,21
================================================================
| EVAL | TEE | FMSPC        | STATUS           | TX GAS                                                                                                                   |  WALL |
| 20   | SGX | 00906ED50000 | OK               | start_async_upsert=406725, upload_basic_info=493346, upload_tcb_levels_batch_0_3=1882245, upload_tcb_levels_batch_3_6=2044756, upload_tcb_levels_batch_6_9=2304952, upload_tcb_levels_batch_9_12=2341214, upload_tcb_levels_batch_12_15=2635277, upload_tcb_levels_batch_15_18=2777495, upload_tcb_levels_batch_18_21=3079594, finalize_async_upsert=4394506 |   72s |
| 20   | SGX | F0806F000000 | OK               | start_async_upsert=406725, upload_basic_info=493346, upload_tcb_levels_batch_0_3=2380618, upload_tcb_levels_batch_3_6=2874803, finalize_async_upsert=2276463 |   37s |
| 20   | SGX | 00906EB10000 | OK               | start_async_upsert=406725, upload_basic_info=493346, upload_tcb_levels_batch_0_3=1939275, upload_tcb_levels_batch_3_6=2165929, upload_tcb_levels_batch_6_9=2361105, upload_tcb_levels_batch_9_12=2606139, upload_tcb_levels_batch_12_15=2750120, upload_tcb_levels_batch_15_18=3015513, upload_tcb_levels_batch_18_21=3181837, upload_tcb_levels_batch_21_22=1223606, finalize_async_upsert=4803133 |   79s |
| 20   | SGX | 10A06D000000 | OK               | start_async_upsert=406725, upload_basic_info=493346, upload_tcb_levels_batch_0_3=2334492, finalize_async_upsert=1605674  |   31s |
| 20   | SGX | 00806EB70000 | OK               | start_async_upsert=406725, upload_basic_info=493334, upload_tcb_levels_batch_0_2=1143670, finalize_async_upsert=1268716  |   29s |
| 20   | SGX | 00A065510000 | OK               | start_async_upsert=406713, upload_basic_info=493169, upload_tcb_levels_batch_0_3=1825790, upload_tcb_levels_batch_3_6=1960795, upload_tcb_levels_batch_6_9=2138215, upload_tcb_levels_batch_9_12=2363346, upload_tcb_levels_batch_12_14=1649693, finalize_async_upsert=2986906 |   59s |
| 20   | SGX | 20A06D080000 | OK               | start_async_upsert=406725, upload_basic_info=493346, upload_tcb_levels_batch_0_3=2335480, finalize_async_upsert=1604603  |   30s |
| 20   | SGX | 90806F000000 | OK               | start_async_upsert=406725, upload_basic_info=515049, upload_tcb_levels_batch_0_3=2380618, upload_tcb_levels_batch_3_6=3246776, finalize_async_upsert=2353102 |   37s |
| 20   | SGX | 30606A000000 | OK               | start_async_upsert=406725, upload_basic_info=493169, upload_tcb_levels_batch_0_3=2292872, upload_tcb_levels_batch_3_6=2467820, upload_tcb_levels_batch_6_9=2687401, upload_tcb_levels_batch_9_12=2926379, upload_tcb_levels_batch_12_15=3560598, finalize_async_upsert=4142930 |   58s |
| 20   | SGX | 00A067110000 | OK               | start_async_upsert=406713, upload_basic_info=493169, upload_tcb_levels_batch_0_3=1764663, upload_tcb_levels_batch_3_6=1853276, upload_tcb_levels_batch_6_9=2107556, upload_tcb_levels_batch_9_12=2274911, upload_tcb_levels_batch_12_13=1192495, finalize_async_upsert=2829081 |   58s |
| 20   | SGX | 20806EB70000 | OK               | start_async_upsert=406725, upload_basic_info=493326, upload_tcb_levels_batch_0_3=1939275, upload_tcb_levels_batch_3_6=2165929, upload_tcb_levels_batch_6_9=2361105, upload_tcb_levels_batch_9_12=2606139, upload_tcb_levels_batch_12_15=2750120, upload_tcb_levels_batch_15_18=3015513, upload_tcb_levels_batch_18_21=3164944, finalize_async_upsert=4577632 |   72s |
| 20   | SGX | 70A06D070000 | OK               | start_async_upsert=406713, upload_basic_info=493346, upload_tcb_levels_batch_0_3=2334492, finalize_async_upsert=1592050  |   30s |
| 20   | SGX | 50806F000000 | OK               | start_async_upsert=406713, upload_basic_info=493169, upload_tcb_levels_batch_0_3=2379151, upload_tcb_levels_batch_3_6=3245759, finalize_async_upsert=2351246 |   38s |
| 20   | SGX | 00706A100000 | OK               | start_async_upsert=406689, upload_basic_info=493145, upload_tcb_levels_batch_0_3=1743521, upload_tcb_levels_batch_3_6=2135610, upload_tcb_levels_batch_6_9=2581661, upload_tcb_levels_batch_9_12=3132352, finalize_async_upsert=2889802 |   51s |
| 20   | SGX | 30806F040000 | OK               | start_async_upsert=406713, upload_basic_info=515037, upload_tcb_levels_batch_0_3=2380606, upload_tcb_levels_batch_3_6=3246764, finalize_async_upsert=2352476 |   36s |
| 20   | SGX | 60A06F000000 | OK               | start_async_upsert=406725, upload_basic_info=493346, upload_tcb_levels_batch_0_3=2437184, upload_tcb_levels_batch_3_4=965959, finalize_async_upsert=1838250 |   38s |
| 20   | SGX | 20A06F000000 | OK               | start_async_upsert=406713, upload_basic_info=493346, upload_tcb_levels_batch_0_3=2437184, upload_tcb_levels_batch_3_4=965959, finalize_async_upsert=1815129 |   36s |
| 20   | SGX | 20906EC10000 | OK               | start_async_upsert=406713, upload_basic_info=493314, upload_tcb_levels_batch_0_3=1939263, upload_tcb_levels_batch_3_6=2165917, upload_tcb_levels_batch_6_9=2361093, upload_tcb_levels_batch_9_12=2606127, upload_tcb_levels_batch_12_15=2750108, upload_tcb_levels_batch_15_18=3015501, upload_tcb_levels_batch_18_21=3164932, finalize_async_upsert=4583891 |   73s |
| 20   | SGX | 20606C040000 | OK               | start_async_upsert=406725, upload_basic_info=493169, upload_tcb_levels_batch_0_3=2292872, upload_tcb_levels_batch_3_6=2467820, upload_tcb_levels_batch_6_9=2773021, upload_tcb_levels_batch_9_12=2954945, upload_tcb_levels_batch_12_14=2512482, finalize_async_upsert=3929048 |   58s |
| 20   | SGX | 00706A800000 | OK               | start_async_upsert=406725, upload_basic_info=493169, upload_tcb_levels_batch_0_3=1658915, upload_tcb_levels_batch_3_6=1948415, upload_tcb_levels_batch_6_9=2494136, finalize_async_upsert=2223571 |   44s |
| 20   | SGX | 00906EC50000 | OK               | start_async_upsert=406713, upload_basic_info=493314, upload_tcb_levels_batch_0_3=1939263, upload_tcb_levels_batch_3_6=2165917, upload_tcb_levels_batch_6_9=2361093, upload_tcb_levels_batch_9_12=2606127, upload_tcb_levels_batch_12_15=2750108, upload_tcb_levels_batch_15_18=3015501, upload_tcb_levels_batch_18_21=3164932, finalize_async_upsert=4574482 |   73s |
| 20   | SGX | 00806EA60000 | OK               | start_async_upsert=406725, upload_basic_info=493346, upload_tcb_levels_batch_0_3=1939275, upload_tcb_levels_batch_3_6=2165929, upload_tcb_levels_batch_6_9=2361105, upload_tcb_levels_batch_9_12=2606139, upload_tcb_levels_batch_12_15=2750120, upload_tcb_levels_batch_15_18=3015513, upload_tcb_levels_batch_18_21=3181837, upload_tcb_levels_batch_21_22=1223606, finalize_async_upsert=4809182 |   79s |
| 20   | SGX | 90C06F000000 | OK               | start_async_upsert=406713, upload_basic_info=493346, upload_tcb_levels_batch_0_3=2379151, upload_tcb_levels_batch_3_4=1323366, finalize_async_upsert=1884803 |   37s |
| 20   | TDX | 10A06F010000 | OK               | start_async_upsert=406725, upload_basic_info=903217, upload_tcb_levels_batch_0_1=1265885, upload_tdx_module_identities_batch_0_2=1649626, finalize_async_upsert=1821576 |   37s |
| 20   | TDX | 60A06F000000 | OK               | start_async_upsert=406725, upload_basic_info=903229, upload_tcb_levels_batch_0_3=3965238, upload_tcb_levels_batch_3_4=1510961, upload_tdx_module_identities_batch_0_2=1649626, finalize_async_upsert=2812108 |   44s |
| 20   | TDX | 20A06E050000 | OK               | start_async_upsert=406725, upload_basic_info=903217, upload_tcb_levels_batch_0_2=2393919, upload_tdx_module_identities_batch_0_2=1649626, finalize_async_upsert=2102450 |   37s |
| 20   | TDX | C0806F000000 | OK               | start_async_upsert=406725, upload_basic_info=903229, upload_tcb_levels_batch_0_3=4024800, upload_tcb_levels_batch_3_6=5030101, upload_tdx_module_identities_batch_0_2=1649626, finalize_async_upsert=3646664 |   45s |
| 20   | TDX | 70A06D070000 | OK               | start_async_upsert=406725, upload_basic_info=903229, upload_tcb_levels_batch_0_3=3837377, upload_tdx_module_identities_batch_0_2=1649626, finalize_async_upsert=2450825 |   37s |
| 20   | TDX | 20A06D080000 | OK               | start_async_upsert=406701, upload_basic_info=925109, upload_tcb_levels_batch_0_3=3838441, upload_tdx_module_identities_batch_0_2=1649626, finalize_async_upsert=2456239 |   37s |
| 20   | TDX | 10A06D000000 | OK               | start_async_upsert=406713, upload_basic_info=903217, upload_tcb_levels_batch_0_3=3837365, upload_tdx_module_identities_batch_0_2=1649614, finalize_async_upsert=2458542 |   37s |
| 20   | TDX | 00806F050000 | OK               | start_async_upsert=406713, upload_basic_info=903052, upload_tcb_levels_batch_0_3=4024800, upload_tcb_levels_batch_3_6=5295219, upload_tdx_module_identities_batch_0_2=1649626, finalize_async_upsert=3688603 |   44s |
| 20   | TDX | 20A06F000000 | OK               | start_async_upsert=406713, upload_basic_info=903229, upload_tcb_levels_batch_0_3=3965238, upload_tcb_levels_batch_3_4=1510961, upload_tdx_module_identities_batch_0_2=1649626, finalize_async_upsert=2807255 |   44s |
| 20   | TDX | 90C06F000000 | OK               | start_async_upsert=406713, upload_basic_info=903229, upload_tcb_levels_batch_0_3=3964950, upload_tcb_levels_batch_3_4=1962411, upload_tdx_module_identities_batch_0_2=1649626, finalize_async_upsert=2882749 |   44s |
| 20   | TDX | 50806F000000 | OK               | start_async_upsert=406725, upload_basic_info=903052, upload_tcb_levels_batch_0_3=4024800, upload_tcb_levels_batch_3_6=5295219, upload_tdx_module_identities_batch_0_2=1649626, finalize_async_upsert=3685186 |   44s |
| 20   | TDX | B0C06F000000 | OK               | start_async_upsert=406725, upload_basic_info=903406, upload_tcb_levels_batch_0_3=3964950, upload_tcb_levels_batch_3_4=1962411, upload_tdx_module_identities_batch_0_2=1649626, finalize_async_upsert=2897161 |   44s |
| 20   | TDX | 00A06D080000 | OK               | start_async_upsert=406725, upload_basic_info=903229, upload_tcb_levels_batch_0_3=3837377, upload_tdx_module_identities_batch_0_2=1649626, finalize_async_upsert=2454262 |   37s |
